Name,Website,Stage,Industry,Tags,Region,Startup HQ,NumOfTags,Funding (USD),CompanySize,Funding_min,rate_percent,Allign with 2030,Funding_Avg,Opportunity_Level,Year of establishment
Nice One,https://niceonesa.com/ar,IPO,Personal Care & Beauty,E-Commerce,Riyadh,Saudi Arabia,1,500M – 2B+,Enterprise,500000000.0,75.6,Yes,1.25B,High,2016
Noon Academy,https://www.learnatnoon.com/ar-sa,Series B,Education,Marketplace,Riyadh,Saudi Arabia,1,15M – 30M,Startup / Small,15000000.0,75.6,Yes,22.50M,High,2013
Paytabs,https://site.paytabs.com/en/,Series B,Financial Services,"Payment Gateway,Financial Solution",Eastern,Saudi Arabia,2,15M – 30M,Startup / Small,15000000.0,4.97,Yes,22.50M,High,2014
OTO,https://tryoto.com,Series A,Logistics,SaaS,Riyadh,Saudi Arabia,1,6M – 15M,Startup / Small,6000000.0,75.6,Yes,10.50M,Medium,2019
Unifonic,https://www.unifonic.com/en/,Series B,Technology,"SaaS,Fintech Infrastructure",Riyadh,Saudi Arabia,2,15M – 30M,Startup / Small,15000000.0,75.6,Yes,22.50M,High,2006
Penny Software,https://penny.co/,Pre-Series A,Technology,SaaS,Riyadh,Saudi Arabia,1,2M – 6M,Startup / Small,2000000.0,75.6,Yes,4.00M,Medium,2020
Lucidya,https://lucidya.com,Series A,Technology,SaaS,Riyadh,Saudi Arabia,1,6M – 15M,Startup / Small,6000000.0,75.6,Yes,10.50M,Medium,2016
Flyakeed,https://flyakeed.com,Series A,Travel & Tourism,"SaaS,Marketplace,Expense Mangement",Riyadh,Saudi Arabia,3,6M – 15M,Startup / Small,6000000.0,75.6,Yes,10.50M,Medium,2017
Forus,https://www.forusinvest.com,Pre-Series A,Financial Services,"SME-Funding,Crowdfunding",Riyadh,Saudi Arabia,2,2M – 6M,Startup / Small,2000000.0,75.6,Yes,4.00M,Medium,2019
Cura,https://cura.sa/ar/,Series A,Healthcare,Telehealth ,Riyadh,Saudi Arabia,1,6M – 15M,Startup / Small,6000000.0,75.6,No,10.50M,Medium,2016
Lendo,https://lendo.sa/,Series B,Financial Services,"SME-Funding,Crowdfunding",Riyadh,Saudi Arabia,2,15M – 30M,Startup / Small,15000000.0,75.6,Yes,22.50M,High,2019
Aanab,https://aanaab.com,Series A,Education,"Subscription,HR & Recruitment ,E-Learning",Makkah,Saudi Arabia,3,6M – 15M,Startup / Small,6000000.0,13.68,Yes,10.50M,Medium,2019
Barq,https://web.barqfleet.com/,Series A,Transportation & Automotive,Last Mile Delivery,Riyadh,Saudi Arabia,1,6M – 15M,Startup / Small,6000000.0,75.6,Yes,10.50M,Medium,0
Taffi,https://www.taffi.co/,Pre-Series A,Fashion,"Marketplace,E-Commerce",Riyadh,Saudi Arabia,2,2M – 6M,Startup / Small,2000000.0,75.6,Yes,4.00M,Medium,2021
Sifi,https://www.sifi.app/ar,Seed,Financial Services,Expense Mangement,Riyadh,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2021
Sirdab,https://www.sirdab.co/,Seed,Logistics,Marketplace,Riyadh,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2019
Tweeq,https://tweeq.sa/,Seed,Financial Services,Digital Bank,Riyadh,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2020
Lamaa,https://www.lamaa.sa/,Seed,Financial Services,B2B Financing,Riyadh,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2021
Glamera,https://business.glamera.com/en/,Pre-Series A,Personal Care & Beauty,SaaS,Riyadh,Saudi Arabia,1,2M – 6M,Startup / Small,2000000.0,75.6,Yes,4.00M,Medium,2019
Sweater,https://www.sweater.sa/,Pre-Series A,Transportation & Automotive,"E-Commerce,Subscription",Riyadh,Saudi Arabia,2,2M – 6M,Startup / Small,2000000.0,75.6,Yes,4.00M,Medium,2022
Fifo Plus,https://www.fifoplus.com/,Pre-Series A,Food & Beverages,"Marketplace,B2B Financing",Makkah,Saudi Arabia,2,2M – 6M,Startup / Small,2000000.0,13.68,Yes,4.00M,Medium,2021
DailyMealz,https://dailymealz.com/?lang=en,Pre-Series A,Food & Beverages,Subscription,Riyadh,Saudi Arabia,1,2M – 6M,Startup / Small,2000000.0,75.6,No,4.00M,Medium,2017
Jeel,https://pay.jeelapp.com/,Seed,Education,BNPL,Riyadh,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2019
Morni,https://www.morniksa.com/?locale=en,Series B,Transportation & Automotive,"Marketplace,E-Commerce",Riyadh,Saudi Arabia,2,15M – 30M,Startup / Small,15000000.0,75.6,Yes,22.50M,High,2014
Sabbar,https://sabbar.com/en,Pre-Series A,HR & Recruitments,Marketplace,Riyadh,Saudi Arabia,1,2M – 6M,Startup / Small,2000000.0,75.6,Yes,4.00M,Medium,2019
Quant,https://www.quant.sa/,Pre-Series A,Technology,AI & Machine Learning,Riyadh,Saudi Arabia,1,2M – 6M,Startup / Small,2000000.0,75.6,Yes,4.00M,Medium,2016
PalmHR,https://palmhr.net/,Pre-Series A,"Technology ,HR & Recruitments","SaaS,ERP",Riyadh,Saudi Arabia,2,2M – 6M,Startup / Small,2000000.0,75.6,Yes,4.00M,Medium,2019
PiFlow,https://www.piflow.net/,Seed,Technology,"SaaS,ERP",Riyadh,Saudi Arabia,2,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2017
Qoyod,https://www.qoyod.com,Pre-Series A,Technology,"SaaS,ERP",Riyadh,Saudi Arabia,2,2M – 6M,Startup / Small,2000000.0,75.6,Yes,4.00M,Medium,2016
Salasa,http://salasa.co/,Series B,Logistics,Subscription,Riyadh,Saudi Arabia,1,15M – 30M,Startup / Small,15000000.0,75.6,No,22.50M,High,2016
Taker,https://taker.io/,Pre-Series A,"Technology ,Food & Beverages",SaaS,Riyadh,Saudi Arabia,1,2M – 6M,Startup / Small,2000000.0,75.6,Yes,4.00M,Medium,2019
Vom,https://getvom.com/,Pre-Series A,Technology,"SaaS,ERP",Riyadh,Saudi Arabia,2,2M – 6M,Startup / Small,2000000.0,75.6,Yes,4.00M,Medium,2020
Wosul,https://wosul.sa/,Pre-Series A,Technology,"SaaS,ERP",Riyadh,Saudi Arabia,2,2M – 6M,Startup / Small,2000000.0,75.6,Yes,4.00M,Medium,2020
